"ID305B_1","ID305B_2","ID305B_3","DEPTH","STATION_ID","REGION","STATION_TYPE_1","STATION_TYPE_2","STATION_TYPE_3","STATION_LAT","STATION_LON","WATERSHED_ID","VAHU6","TEMP_VIO","TEMP_SAMP","TEMP_STAT","DO_VIO","DO_SAMP","DO_STAT","PH_VIO","PH_SAMP","PH_STAT","ECOLI_VIO","ECOLI_SAMP","ECOLI_STAT","ENTER_SAMP","ENTER_VIO","ENTER_STAT","WAT_MET_VIO","WAT_MET_STAT","WAT_TOX_VIO","WAT_TOX_STAT","SED_MET_VIO","SED_MET_STAT","SED_TOX_VIO","SED_TOX_STAT","FISH_MET_VIO","FISH_MET_STAT","FISH_TOX_VIO","FISH_TOX_STAT","BENTHIC_STAT","NUT_TP_VIO","NUT_TP_SAMP","NUT_TP_STAT","NUT_CHLA_VIO","NUT_CHLA_SAMP","NUT_CHLA_STAT","COMMENTS"
"VAW-H03R_BUN01A06",,,"S","2-BUN000.04","BRRO","B",,,"37.38527778","-79.21111111","H03","JM10",0,3,"S",0,3,"S",0,3,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,0,,,0,,"Not Analyzed by App"
"VAW-I25R_CAT01A00","VAW-I25R_CAT02A00",,"S","2-CAT000.34","BRRO","A",,,"37.60194445","-79.78666667","I25","JU53",0,12,"S",0,12,"S",0,12,"S",1,12,"S",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,12,,,12,,"Not Analyzed by App"
"VAW-I25R_CAT04C04",,,"S","2-CAT025.14","BRRO","B","TM","FPM","37.453425","-80.00801944","I25","JU52",0,5,"S",0,5,"S",0,5,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,0,,,0,,"Not Analyzed by App"
"VAW-I25R_CAT04C04",,,"S","2-CAT026.29","BRRO","FPM","B",,"37.43588889","-80.01784167","I25","JU52",0,2,"S",0,2,"S",0,2,"S",0,1,"S",1,0,"S",0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,2,,,2,,"Not Analyzed by App"
"VAW-I25R_CAT04D12",,,"S","2-CAT027.64","BRRO","A","AW",,"37.42594444","-80.02176944","I25","JU52",0,19,"S",0,19,"S",0,19,"S",13,17,"Review",,,,,,0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,18,,,18,,"Not Analyzed by App"
"VAW-I25R_CAT06A08",,,"S","2-CAT034.61","BRRO","B","SS",,"37.38333056","-80.09999722","I25","JU52",0,1,"S",0,1,"S",0,1,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,0,,,0,,"Not Analyzed by App"
"VAW-I22R_CRG01A00","VAW-I22R_CRG02A00",,"S","2-CRG001.20","BRRO","A",,,"37.64888889","-79.83138889","I22","JU50",0,24,"S",0,24,"S",0,24,"S",4,23,"Review",6,2,"Review",,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,23,,,23,,"Not Analyzed by App"
"VAW-I22R_CRG02B10",,,"S","2-CRG014.92","BRRO","FPM","B","APROB","37.6438","-79.9216","I22","JU48",0,1,"S",0,1,"S",0,1,"S",0,1,"S",1,0,"S",0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,1,,,1,,"Not Analyzed by App"
"VAW-I22R_CRG02B10",,,"S","2-CRG015.50","BRRO","FPM",,,"37.6487","-79.92969444","I22","JU48",0,2,"S",0,1,"S",0,2,"S",0,1,"S",1,0,"S",0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,2,,,2,,"Not Analyzed by App"
"VAW-I22R_CRG03A14","VAW-I22R_CRG02B10",,"S","2-CRG016.90","BRRO","PA",,,"37.64663889","-79.94880556","I22","JU48",0,23,"S",0,23,"S",0,23,"S",3,22,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,23,,,23,,"Not Analyzed by App"
"VAW-I22R_CRG04A14",,,"S","2-CRG026.85","BRRO","PA",,,"37.61763889","-79.9895","I22","JU48",0,12,"S",0,12,"S",0,12,"S",0,12,"S",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,12,,,12,,"Not Analyzed by App"
"VAW-I22R_CRG04A14",,,"S","2-CRG028.87","BRRO","FP",,,"37.59467222","-79.99886667","I22","JU48",0,2,"S",0,1,"S",0,2,"S",0,1,"S",1,0,"S",0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,2,,,2,,"Not Analyzed by App"
"VAW-I22R_CRG05A02","VAW-I22R_CRG05B14",,"S","2-CRG042.34","BRRO","A",,,"37.53583333","-80.03444445","I22","JU48",0,12,"S",0,12,"S",0,12,"S",0,12,"S",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,12,,,12,,"Not Analyzed by App"
"VAW-I22R_CRG05A02","VAW-I22R_CRG05B14",,"S, B","2-CRG047.95","BRRO","FPM",,,"37.5112","-80.0876","I22","JU46",0,2,"S",0,2,"S",0,2,"S",0,1,"S",1,1,"Review",0,"S",0,"S",0,"S","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,2,,,2,,"Not Analyzed by App"
"VAW-I22R_CRG05A02","VAW-I22R_CRG05B14",,"S","2-CRG048.53","BRRO","A",,,"37.50191667","-80.10447222","I22","JU43",0,12,"S",0,12,"S",0,12,"S",2,12,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,12,,,12,,"Not Analyzed by App"
"VAW-I19R_CRG02A02",,,"S","2-CRG062.29","BRRO","A",,,"37.40777778","-80.1775","I19","JU43",0,23,"S",0,23,"S",0,23,"S",9,23,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,23,,,23,,"Not Analyzed by App"
"VAW-I19R_CRG03A02","VAW-I19R_CRG04A02",,"S","2-CRG074.47","BRRO","A",,,"37.33440278","-80.33118611","I19","JU41",0,12,"S",0,12,"S",0,12,"S",0,12,"S",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,11,,,11,,"Not Analyzed by App"
"VAW-I11R_CSR01A02",,,"S","2-CSR003.94","BRRO","B","FPM",,"37.72799167","-80.10519722","I11","JU19",0,2,"S",0,2,"S",0,2,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,2,,,2,,"Not Analyzed by App"
"VAW-I23R_CVA01A02",,,"S","2-CVA002.15","BRRO","B",,,"37.580008","-80.131643","I23","JU47",0,2,"S",0,2,"S",2,2,"Review",,,,,,,,,0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,2,,,2,,"Not Analyzed by App"
"VAW-I17R_CWP01A00","VAW-I17R_CWP02A08",,"S","2-CWP002.58","BRRO","A","B","TR","37.79194444","-79.75944444","I17","JU36",0,31,"S",0,31,"S",0,29,"S",1,29,"S",6,2,"Review",,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,30,,,30,,"Not Analyzed by App"
"VAW-I21R_DCK01A06",,,"S","2-DCK003.58","BRRO","PA",,,"37.46008333","-80.35255556","I21","JU44",0,23,"S",0,23,"S",0,23,"S",0,23,"S",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,23,,,23,,"Not Analyzed by App"
"VAW-I21R_DCK01A06",,,"S, B","2-DCK003.94","BRRO","FPM",,,"37.46334445","-80.34827222","I21","JU44",0,6,"S",0,6,"S",0,6,"S",0,3,"S",3,1,"Review",0,"S",0,"S",0,"S","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,6,,,6,,"Not Analyzed by App"
"VAW-I07R_DNP01A00","VAW-I07R_DNP02A00",,"S","2-DNP001.98","BRRO","A","TR",,"37.80333333","-80.02166667","I07","JU15",0,35,"S",0,35,"S",0,35,"S",2,35,"S",4,1,"Review",,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,34,,,34,,"Not Analyzed by App"
"VAW-I07R_DNP05A06",,,"S","2-DNP018.47","BRRO","A",,,"37.73455278","-80.19107778","I07","JU13",0,12,"S",0,12,"S",0,12,"S",0,12,"S",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,12,,,12,,"Not Analyzed by App"
"VAW-H08R_DVD01A00",,,"S","2-DVD000.23","BRRO","A","B",,"37.54944445","-78.82083333","H08","JM19",0,12,"S",0,12,"S",0,12,"S",7,12,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,12,,,12,,"Not Analyzed by App"
"VAW-I26R_ELS01A02",,,"S","2-ELS000.08","BRRO","TM",,,"37.49138611","-79.73630556","I26","JU55",0,18,"S",0,18,"S",0,18,"S",5,18,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,18,,,18,,"Not Analyzed by App"
"VAW-I04R_FAS01A00",,,"S","2-FAS000.20","BRRO","B","A","SS","37.88777778","-79.97916667","I04","JU10",0,3,"S",0,3,"S",0,3,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,0,,,0,,"Not Analyzed by App"
"VAW-I04R_FAS01A00",,,"S","2-FAS001.08","BRRO","B","A","SS","37.88400833","-79.96574722","I04","JU10",0,5,"S",0,4,"S",0,5,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,0,,,0,,"Not Analyzed by App"
"VAW-I04R_FAS01A00",,,"S","2-FAS002.67","BRRO","B","A","SS","37.86878333","-79.94982778","I04","JU10",3,11,"Review",0,9,"S",0,11,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,0,,,0,,"Not Analyzed by App"
"VAW-I04R_FAS01A00",,,"S","2-FAS002.75","BRRO","B","A","SS","37.86841667","-79.94878333","I04","JU10",3,11,"Review",0,9,"S",0,11,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,0,,,0,,"Not Analyzed by App"
"VAW-I25R_HAM01A02",,,"S","2-HAM000.37","BRRO","FPM",,,"37.4128","-80.021","I25","JU52",0,32,"S",0,32,"S",0,32,"S",2,26,"S",3,1,"Review",0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,30,,,30,,"Not Analyzed by App"
"VAW-H04R_HAZ01A00",,,"S","2-HAZ007.16","BRRO","B",,,"37.485","-79.16583333","H04","JM08",0,4,"S",0,4,"S",1,4,"Review",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,0,,,0,,"Not Analyzed by App"
"VAW-H04R_HAZ02A08",,,"S","2-HAZ010.92","BRRO","A",,,"37.50083333","-79.13583333","H04","JM08",0,12,"S",0,12,"S",0,12,"S",3,12,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,11,,,11,,"Not Analyzed by App"
"VAW-H01R_HUO02A02",,,"S","2-HUO005.87","BRRO","B","A",,"37.5392","-79.44821111","H01","JM01",0,8,"S",0,8,"S",0,8,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,2,,,2,,"Not Analyzed by App"
"VAW-H03R_IVA01A00",,,"S","2-IVA000.05","BRRO","B",,,"37.41805556","-79.18611111","H03","JM09",0,3,"S",0,3,"S",0,3,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,0,,,0,,"Not Analyzed by App"
"VAW-H03R_IVA01A00",,,"S","2-IVA005.43","BRRO","A","CMON",,"37.4196","-79.2237","H03","JM09",0,1,"S",0,1,"S",0,1,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,0,,,0,,"Not Analyzed by App"
"VAW-H03R_IVA01A00",,,"S","2-IVA005.75","BRRO","B",,,"37.41666667","-79.22583333","H03","JM09",0,2,"S",0,2,"S",0,2,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,0,,,0,,"Not Analyzed by App"
"VAW-H03R_IVA01A00",,,"S","2-IVA012.13","BRRO","A","B",,"37.39027778","-79.2825","H03","JM09",0,15,"S",0,15,"S",0,15,"S",5,12,"Review",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,12,,,12,,"Not Analyzed by App"
"VAW-I07R_JED01A02","VAW-I07R_JED02A02",,"S","2-JED008.07","BRRO","A","FPM","PA","37.7974","-80.19388889","I07","JU13",1,14,"S",0,14,"S",0,13,"S",0,13,"S",1,0,"S",0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,14,,,14,,"Not Analyzed by App"
"VAW-I27R_JES01A00","VAW-I27R_JES01A08","VAW-I27R_JES02A08","S","2-JES000.80","BRRO","A","B",,"37.54861111","-79.62861111","I27","JU57",0,12,"S",0,12,"S",1,12,"S",0,12,"S",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,12,,,12,,"Not Analyzed by App"
"VAW-I27R_JES01A08","VAW-I27R_JES02A08",,"S","2-JES002.87","BRRO","B","A",,"37.5292","-79.6242","I27","JU57",1,2,"Review",0,2,"S",0,2,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,2,,,2,,"Not Analyzed by App"
"VAW-I09R_JKS01A00","VAW-I09R_JKS02A00",,"S","2-JKS000.38","BRRO","A","C","TR","37.78833333","-79.78111111","I09","JU24",0,36,"S",0,36,"S",0,36,"S",3,36,"S",4,1,"Review",,,0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,36,,,36,,"Not Analyzed by App"
"VAW-I09R_JKS03A00","VAW-I09R_JKS02A00","VAW-I09R_JKS01A00","S","2-JKS006.67","BRRO","A","B","FPM,TM","37.81055556","-79.85416667","I09","JU24",0,50,"S",0,49,"S",0,48,"S",,,,,,,,,0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,6,,,6,,"Not Analyzed by App"
"VAW-I09R_JKS04A00","VAW-I09R_JKS03B10",,"S","2-JKS013.29","BRRO","A","B","TM","37.78055555","-79.92777778","I09","JU21",0,55,"S",0,54,"S",0,53,"S",,,,,,,0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,7,,,7,,"Not Analyzed by App"
"VAW-I09R_JKS04A00","VAW-I09R_JKS05A00",,"S","2-JKS018.68","BRRO","A","B","TM","37.75638889","-79.9875","I09","JU21",0,83,"S",0,82,"S",0,81,"S",9,36,"Review",,,,0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,37,,,37,,"Not Analyzed by App"
"VAW-I09R_JKS06A00","VAW-I04R_JKS01A00","VAW-I09R_JKS05A00","S","2-JKS023.61","BRRO","A","B","FPM,TM,TR","37.78861111","-80.00083333","I09","JU21",0,86,"S",0,85,"S",0,84,"S",7,35,"Review",4,1,"Review",0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,36,,,36,,"Not Analyzed by App"
"VAW-I04R_JKS03A00",,,"S","2-JKS026.01","BRRO","A","TM",,"37.81111111","-79.98888889","I04","JU11",1,41,"S",0,40,"S",0,39,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,0,,,0,,"Not Analyzed by App"
"VAW-I04R_JKS03A00",,,"S, B","2-JKS028.69","BRRO","FPM",,,"37.82269167","-79.98936667","I04","JU11",1,3,"Review",0,3,"S",0,3,"S",0,3,"S",3,0,"S",0,"S",0,"S",0,"S","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,3,,,3,,"Not Analyzed by App"
"VAW-I04R_JKS03A00","VAW-I04R_JKS04A00",,"S","2-JKS030.65","BRRO","A","B","TM,TR","37.84194445","-79.98916667","I04","JU11",0,50,"S",0,50,"S",0,48,"S",4,42,"S",6,2,"Review",0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,42,,,42,,"Not Analyzed by App"
"VAW-I04R_JKS04A00","VAW-I04R_JKS04B14",,"S","2-JKS033.06","BRRO","FP",,,"37.85852778","-79.98352222","I04","JU11",1,1,"Review",0,1,"S",0,1,"S",0,1,"S",1,0,"S",0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,1,,,1,,"Not Analyzed by App"
"VAW-I04R_JKS04A00","VAW-I04R_JKS04B14",,"S","2-JKS034.04","BRRO","RB",,,"37.868528","-79.988689","I04","JU10",0,1,"S",0,1,"S",0,1,"S",,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,0,,,0,,"Not Analyzed by App"
"VAW-I04R_JKS04A00",,,"S","2-JKS036.11","BRRO","TM",,,"37.87638889","-79.9775","I04","JU10",0,13,"S",0,13,"S",0,12,"S",0,12,"S",,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,12,,,12,,"Not Analyzed by App"
"VAW-I04R_JKS05A02",,,"S","2-JKS042.29","BRRO","RB",,,"37.937778","-79.955611","I04","JU10",0,1,"S",0,1,"S",,,,,,,,,,,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Review",,0,,,0,,"Not Analyzed by App"
"VAW-I04R_JKS05A02",,,"S","2-JKS044.10","BRRO","A","TM",,"37.94833333","-79.94944444","I04","JU10",0,8,"S",0,8,"S",0,8,"S",,,,,,,0,"S",0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,7,,,7,,"Not Analyzed by App"
"VAW-I04R_JKS05A02",,,"S, M, B","2-JKS044.60","BRRO",,,,"37.95138889","-79.95833333","I04","JU08",0,470,"S",90,470,"Review",0,26,"S",0,14,"S",,,,,,0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,27,,,27,,"Not Analyzed by App"
"VAW-H03R_JMS01A00","VAW-H03R_JMS04A02","VAW-H05R_JMS04A00","S","2-JMS258.54","BRRO","A","C","TR","37.41027778","-79.13416667","H03","JM11",0,36,"S",0,36,"S",0,36,"S",10,34,"Review",11,6,"Review",,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,36,,,36,,"Not Analyzed by App"
"VAW-H03R_JMS06A02",,,"S","2-JMS270.84","BRRO","A","TR",,"37.50305556","-79.26222222","H03","JM07",0,36,"S",0,36,"S",0,36,"S",7,36,"Review",12,6,"Review",,,,,,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,36,,,36,,"Not Analyzed by App"
"VAW-H01R_JMS02A00","VAW-H01R_JMS03A00","VAW-H01R_JMS01A04","S","2-JMS275.75","BRRO","A","TR",,"37.51333333","-79.33166667","H01","JM03",0,36,"S",0,36,"S",0,36,"S",6,36,"Review",12,4,"Review",,,0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,36,,,36,,"Not Analyzed by App"
"VAW-H01R_JMS04A00","VAW-H01R_JMS03A00",,"S, I","2-JMS279.41","BRRO","CB","C","TR","37.555325","-79.36725556","H01","JM01",0,71,"S",0,70,"S",0,71,"S",2,58,"S",8,3,"Review",,,0,"S",,,"Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App","Not Analyzed by App",,,67,,,67,,"Not Analyzed by App"
